lambda_cost,case_id,turn_index,requests_before,root_evidence_id,question_en,bayes_entropy_reduction,bayes_expected_margin_gain,root_mi_norm,global_present_rate,num_outcome_states,expected_fused_entropy_reduction,expected_margin_gain,contradiction_resolution_gain,rare_recovery_bonus,redundancy_penalty,utility,expected_fused_entropy_after,expected_fused_margin_after,expected_contradiction_after,outcome_states_considered,voi_rank
0.05,test:38475,1,0,E_201,Do you have a cough?,0.018729567316835394,0.0,0.13303301330163828,0.3155,2,0.08720913614666637,0.050942472854448174,0.0,0.0,0.0,0.008153519451556138,0.7742377687471174,0.054746908937694454,0.3537011388312533,2,1
0.05,test:38475,1,0,E_50,Have you had significantly increased sweating?,0.004365484132563768,0.0,0.08275602321623424,0.11709999999999998,2,0.08711009352609111,0.018110999082459896,0.0,0.0,0.0,0.0015327512558420894,0.7743368113676926,0.021915435165706175,0.10176393025579714,2,2
0.05,test:38475,1,0,E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",0.005999985914199257,0.0,0.07394692282325596,0.07565,2,0.08919969618426693,0.007432709214098849,0.0,0.0,0.0,0.0005463747441665778,0.7722472087095168,0.011237145297345128,0.15943234905566533,2,3
0.05,test:38475,1,0,E_89,Do you constantly feel fatigued or do you have non-restful sleep?,0.004001281265124335,0.0,0.06876092761474893,0.08645000000000003,2,0.06828732137341043,0.06046758445689236,0.0,0.0,0.0,-0.0003484563532457907,0.7931595835203733,0.06427202054013864,0.2110075235772506,2,4
0.05,test:38475,1,0,E_220,Do you have pain that is increased when you breathe in deeply?,0.00497937540078186,0.0,0.06428655674706384,0.060899999999999954,2,0.0677790551110754,0.04841056417029251,0.0,0.0,0.0,-0.0030394068548500255,0.7936678497827083,0.05221500025353879,0.11497099625831937,2,5
0.05,test:38475,1,0,E_77,Do you have a cough that produces colored or more abundant sputum than usual?,0.0051049310918905855,0.0,0.08010107951130453,0.09140000000000004,2,0.060187549964189846,0.03664381298664659,0.0,0.0,0.0,-0.009568084922366264,0.8012593549295939,0.04044824906989287,0.16595443226069564,2,6
0.05,test:38475,1,0,E_214,Have you noticed a wheezing sound when you exhale?,0.004301729319615477,0.0,0.06956995257476394,0.07050000000000001,2,0.06472422374745801,0.019919147791340724,0.0,0.0,0.0,-0.010417847380629952,0.7967226811463257,0.023723583874587003,0.1927531412359738,2,7
0.05,test:38475,1,0,E_218,Do you have symptoms that are increased with physical exertion but alleviated with rest?,0.004487512839618013,0.0,0.06654714689269799,0.06674999999999998,2,0.053976025911705916,0.03712722586697189,0.0,0.0,0.0,-0.012887740575167367,0.8074708789820778,0.04093166195021817,0.1457852438351203,2,8
0.05,test:38475,1,0,E_148,Are you feeling nauseous or do you feel like vomiting?,0.005401722369247408,0.0,0.07465020061476492,0.09940000000000004,2,0.05815786950637203,0.019215671686846778,0.0,0.0,0.0,-0.01417003743412603,0.8032890353874117,0.023020107770093057,0.14104931581800417,2,9
0.05,test:38475,1,0,E_79,Do you smoke cigarettes?,0.015264834894651358,0.0,0.11916390985430717,0.27725,2,0.06032941662890401,0.012893518432939531,0.0,0.0,0.0,-0.014240117167514887,0.8011174882648797,0.01669795451618581,0.3258258069992192,2,10
0.05,test:38475,1,0,E_162,Have you had an involuntary weight loss over the last 3 months?,0.0025575958666865795,0.0,0.05464515974442119,0.050350000000000006,2,0.05554410003120214,0.01893422109681586,0.0,0.0,0.0,-0.015663900763475652,0.8059028048625816,0.022738657180062138,0.0626218221058635,2,11
