case_id,turn_index,true_pathology,notebook13_prediction,notebook13_correct,requests_before,fused_top1,bayes_top1,mlp_top1,fused_confidence,fused_entropy,fused_margin,contradiction_score,max_remaining_utility,top_voi_root,top_voi_question,top_voi_utility,actual_requested_root,actual_request_voi_rank,actual_request_utility
test:38475,1,Acute COPD exacerbation / infection,Myocarditis,False,0,Anemia,Anemia,Bronchospasm / acute asthma exacerbation,0.07152835627523864,0.8614469048937837,0.0038044360832462792,0.0,0.008153519451556138,E_201,Do you have a cough?,0.008153519451556138,E_91,20.0,-0.03399958709208568
test:38475,2,Acute COPD exacerbation / infection,Myocarditis,False,1,Anemia,Anemia,Bronchospasm / acute asthma exacerbation,0.0745219266726319,0.8483849820084889,0.0060865219715100505,0.0,0.02722123722283623,E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",0.02722123722283623,E_124,12.0,-0.013855603923413284
test:38475,3,Acute COPD exacerbation / infection,Myocarditis,False,2,Anemia,Anemia,Acute COPD exacerbation / infection,0.08683796180865337,0.8471012579666722,0.008963558441678537,0.0,0.014086651058016042,E_201,Do you have a cough?,0.014086651058016042,E_79,10.0,-0.00700297058598371
test:38475,4,Acute COPD exacerbation / infection,Myocarditis,False,3,Anemia,Anemia,Acute dystonic reactions,0.10366002962408159,0.8183082688486022,0.018058797919823802,0.0,0.08160362061317543,E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",0.08160362061317543,E_151,11.0,-0.005307250286482816
test:38475,5,Acute COPD exacerbation / infection,Myocarditis,False,4,Anemia,Anemia,Anemia,0.13621037740626532,0.7852107412268696,0.05027410956107112,0.0,0.03868482506945595,E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",0.03868482506945595,E_0,,
test:38475,6,Acute COPD exacerbation / infection,Myocarditis,False,5,Anemia,Anemia,Anemia,0.18567564110552384,0.7294890380731335,0.059649899677290064,0.0,0.04466187424327127,E_53,"Do you have pain somewhere, related to your reason for consulting?",0.04466187424327127,E_63,,
test:38475,7,Acute COPD exacerbation / infection,Myocarditis,False,6,Anemia,Anemia,Anemia,0.21114156670233922,0.7400076072752456,0.08731488922584675,0.0,0.05331341170387467,E_220,Do you have pain that is increased when you breathe in deeply?,0.05331341170387467,E_76,,
test:38475,8,Acute COPD exacerbation / infection,Myocarditis,False,7,Boerhaave,Anemia,Boerhaave,0.14036001294871772,0.783560488267614,0.04227059894414843,0.0,0.03007340253524761,E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",0.03007340253524761,E_148,4.0,-0.002600185705279409
test:38475,9,Acute COPD exacerbation / infection,Myocarditis,False,8,Sarcoidosis,Anemia,Sarcoidosis,0.1403003466833782,0.7844686341077262,0.0060975784777917985,0.0,0.08797253258597025,E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",0.08797253258597025,E_70,7.0,-0.00874289852102153
test:38475,10,Acute COPD exacerbation / infection,Myocarditis,False,9,Anemia,Anemia,Acute dystonic reactions,0.15160959149782505,0.7875355955276776,0.014796043734030179,0.2674346678148562,0.08859693148097124,E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",0.08859693148097124,E_220,3.0,0.024473267513472535
