root_evidence_id,question_en,data_type,num_outcome_states,global_present_rate,global_mi,global_mi_norm,root_outcome_entropy
E_54,Characterize your pain:,M,80,0.7789941907289573,2.181983718234,1.0,0.7702830374138457
E_55,Do you feel pain somewhere?,M,80,0.7789941907289573,1.3528610431220394,0.620014270416731,0.49448328512728945
E_57,Does the pain radiate to another location?,M,80,0.7789941907289573,1.3201018562754612,0.6050007821982707,0.3941416686669063
E_59,How fast did the pain appear?,C,12,0.7789941907289573,0.8705575550916634,0.3989752754875063,0.9350507358048725
E_56,How intense is the pain?,C,12,0.7789941907289573,0.8186536518079398,0.3751877912592865,0.9248627275078815
E_133,Where is the affected region located?,M,80,0.19507762270354387,0.810674276595293,0.3715308550750399,0.25715333055515904
E_58,How precisely is the pain located?,C,12,0.7789941907289573,0.8023872484947777,0.3677329220147408,0.9334243488187194
E_130,What color is the rash?,C,6,0.19507762270354387,0.7244544410121505,0.33201642842618984,0.42101418924298045
E_136,How severe is the itching?,C,12,0.19507762270354387,0.6623970374722532,0.30357560963303964,0.3472991469462881
E_135,Is the lesion (or are the lesions) larger than 1cm?,C,3,0.19507762270354387,0.5822326161741911,0.26683637064231813,0.556267286497642
E_131,Do your lesions peel off?,C,3,0.19507762270354387,0.5670807652268142,0.2598922991440944,0.5171004697753067
E_134,How intense is the pain caused by the rash?,C,10,0.18350685743592543,0.5609436641992441,0.2570796745693624,0.3637141325300381
E_132,Is the rash swollen?,C,9,0.19507762270354387,0.5515617212988899,0.25277994363097234,0.39255812752960606
E_53,"Do you have pain somewhere, related to your reason for consulting?",B,2,0.7684062628583017,0.5115360417776543,0.23443623227017876,0.7807792134332918
E_152,Where is the swelling located?,M,80,0.10850310354308981,0.49599076916571033,0.22731185618889177,0.17182646509113006
E_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",B,2,0.16328263790437225,0.41517187460544686,0.19027267304334808,0.6421051453363927
E_201,Do you have a cough?,B,2,0.3114444004594375,0.3685674000982315,0.168913909401915,0.8948337378690479
E_79,Do you smoke cigarettes?,B,2,0.28018958621375545,0.3319944004966977,0.15215255628277516,0.8557090035869354
E_181,Do you have nasal congestion or a clear runny nose?,B,2,0.19769462228037776,0.31308446151129443,0.1434861584414988,0.7172933058691914
E_151,Do you have swelling in one or more areas of your body?,B,2,0.09658229995651335,0.3063392467899929,0.14039483623550142,0.4580671527942476
E_91,Do you have a fever (either felt or measured with a thermometer)?,B,2,0.21081764661145358,0.30504110974129495,0.13979990189302677,0.7430427344251254
E_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,B,2,0.38971745374911515,0.30191041073469665,0.1383651070407846,0.964616966516806
E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,B,2,0.13486615665726082,0.2935653416291157,0.13454057387133683,0.5706341810448734
E_50,Have you had significantly increased sweating?,B,2,0.12585876392596737,0.24577156184645146,0.11263675333259038,0.5459704411807108
E_78,Do you drink alcohol excessively or do you have an addiction to alcohol?,B,2,0.11533616354102273,0.23528889083422252,0.1078325602835638,0.5158045299682207
E_70,Are you significantly overweight compared to people of the same height as you?,B,2,0.10609573694279067,0.23156952938175196,0.10612798227897592,0.48802601790000405
E_41,Have you been in contact with a person with similar symptoms in the past 2 weeks?,B,2,0.08975704025538171,0.23109942603168265,0.10591253458972837,0.4356583258902273
E_77,Do you have a cough that produces colored or more abundant sputum than usual?,B,2,0.09553608514803988,0.23088005281982596,0.10581199616223073,0.45468344325545695
E_48,Do you live with 4 or more people?,B,2,0.09747543394026142,0.22662334410760349,0.10386115268129603,0.4609414356615048
E_49,Do you attend or work in a daycare?,B,2,0.09581007057318532,0.22229854526430548,0.10187910359121469,0.4555713368591496
E_69,Do you have diabetes?,B,2,0.08806145073820058,0.21880176629486187,0.10027653481848628,0.4299658739934652
E_97,Do you have a sore throat?,B,2,0.09214685618787795,0.21870273168841897,0.10023114740078225,0.4435954332264153
E_45,Have you been coughing up blood?,B,2,0.0982847147333956,0.21829171240632175,0.10004277785491328,0.46353456246951946
E_105,Have you ever had a heart attack or do you have angina (chest pain)?,B,2,0.07535184213759334,0.21633256685776292,0.09914490426759592,0.38558550452598594
E_148,Are you feeling nauseous or do you feel like vomiting?,B,2,0.10527280563025423,0.21444443569052282,0.09827957646910608,0.4854905441725629
E_226,Are you more likely to develop common allergies than the general population?,B,2,0.07771923221678585,0.21354126727409817,0.09786565568276967,0.3940913284731168
E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",B,2,0.07868549398304606,0.21296255402639044,0.09760043223363409,0.39753042326483295
E_82,Do you feel lightheaded and dizzy or do you feel like you are about to faint?,B,2,0.08910669050957389,0.21249287113059753,0.09738517723797671,0.4334810139618996
E_144,Do you have diffuse (widespread) muscle pain?,B,2,0.0906628497214319,0.21082324725405374,0.09661999101656205,0.4386784588477223
E_104,Do you have high blood pressure or do you take medications to treat high blood pressure?,B,2,0.07932414328365195,0.20790198918634512,0.09528118264540107,0.39979327585759483
E_123,Do you have a chronic obstructive pulmonary disease (COPD)?,B,2,0.07090372288665583,0.2017060093532391,0.09244157399876976,0.36928715068067564
E_214,Have you noticed a wheezing sound when you exhale?,B,2,0.07225804941878039,0.19774617859336005,0.09062678925643265,0.37429430078860876
E_89,Do you constantly feel fatigued or do you have non-restful sleep?,B,2,0.08815212918851563,0.1949337242197567,0.08933784546180176,0.43027160000098846
E_218,Do you have symptoms that are increased with physical exertion but alleviated with rest?,B,2,0.06722100775934524,0.18871475472089116,0.08648770068441594,0.35546635206841193
E_88,Do you feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long?,B,2,0.06965275028714843,0.18789744241920492,0.08611312763198833,0.36462644201196276
E_208,"Is your BMI less than 18.5, or are you underweight?",B,2,0.0638678551718893,0.18408776245916078,0.08436715678527298,0.3426112451553804
E_220,Do you have pain that is increased when you breathe in deeply?,B,2,0.06241602492974858,0.18321833535223006,0.08396869959255185,0.33696189546823274
E_222,Are you exposed to secondhand cigarette smoke on a daily basis?,B,2,0.06828184812432113,0.18020898118007142,0.08258951690341874,0.35947888111884646
E_106,Do you have heart failure?,B,2,0.0556073408593197,0.17922403724608307,0.0821381185149901,0.30975505991222163
E_118,Have you ever had pneumonia?,B,2,0.055710694791936834,0.17071653503378273,0.07823914248633947,0.31017722152812444
E_227,Are you immunosuppressed?,B,2,0.06367577286315744,0.1675254743679152,0.07677668397246466,0.34186675911334896
E_116,Have you had a cold in the last 2 weeks?,B,2,0.05710694791936833,0.16421435752467659,0.07525920388516205,0.3158518817730374
E_76,Do you feel slightly dizzy or lightheaded?,B,2,0.05700944420935217,0.16182540125106704,0.07416434866069545,0.31545731713022174
E_217,Are your symptoms worse when lying down and alleviated while sitting up?,B,2,0.0529903412824858,0.16003709595319904,0.07334477091457213,0.29896639999011876
E_161,Have you recently had a loss of appetite or do you get full more quickly then usually?,B,2,0.054376844038915684,0.1546789529858137,0.07088914169854756,0.3047062572463652
E_51,Have you had diarrhea or an increase in stool frequency?,B,2,0.05855585305020856,0.154018336096265,0.07058638192814773,0.3216853156747416
E_162,Have you had an involuntary weight loss over the last 3 months?,B,2,0.050809183289424166,0.15289599493518605,0.07007201458814423,0.2898244129737156
E_194,Have you noticed a high pitched sound when breathing in?,B,2,0.042000698126563714,0.14553991084975676,0.06670073183110195,0.25139129143895833
E_125,Have you ever been diagnosed with gastroesophageal reflux?,B,2,0.04333649895378519,0.14356188118168434,0.06579420367897011,0.25738613927230186
E_146,Are you taking any new oral anticoagulants ((NOACs)?,B,2,0.03945390122094146,0.1413930514620731,0.06480023213762122,0.23978271700984455
E_209,Are your vaccinations up to date?,B,2,0.05615433667251039,0.13959403035788326,0.06397574335287178,0.3119860092039705
E_71,Do you have high cholesterol or do you take medications to treat high cholesterol?,B,2,0.04183006663403543,0.13944788801248,0.06390876652615121,0.25062095809699164
E_196,Have you had surgery within the last month?,B,2,0.03800694616430155,0.13906116322386985,0.06373153111170772,0.23307827150585025
E_225,Do you have close family members who had a cardiovascular disease problem before the age of 50?,B,2,0.040954483318090255,0.13674492040683334,0.06267000035981413,0.24665147139368326
E_24,Have you ever had a diagnosis of anemia?,B,2,0.038390135744665085,0.13658569860492767,0.062597029236989,0.23486169548151492
E_9,Do you have swollen or painful lymph nodes?,B,2,0.0404981659552146,0.13468927717155732,0.06172790202145449,0.2445716149694445
E_0,Have you recently had a viral infection?,B,2,0.03979028902049723,0.13454664494695345,0.06166253387804813,0.24132984168894878
E_62,Do you regularly take stimulant drugs?,B,2,0.040915481834083785,0.13312712569282353,0.06101197024539242,0.24647400596399108
E_113,Do you have chronic kidney failure?,B,2,0.037128437737055896,0.13101501948307093,0.060043995007033606,0.22896759571685885
E_7,Do you have a poor diet?,B,2,0.03700948321083617,0.13049663405183137,0.05980641970942364,0.22840861060996365
E_175,"Have you noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in your general well-being related to your consultation today?",B,2,0.04062979596373642,0.1288690320822967,0.05906049206755654,0.24517236328234818
E_204,Have you traveled out of the country in the last 4 weeks?,C,12,1.0,0.12797899671666882,0.058652590139512725,0.1549076377184329
E_157,"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",B,2,0.0350886601235177,0.12621487873496634,0.057844097405602556,0.21930180365198
E_212,"Have you noticed that the tone of your voice has become deeper, softer or hoarse?",B,2,0.03298257998716851,0.12619611851931425,0.05783549962574961,0.20913558078436764
