policy_name,dataset_name,case_id,budget,ground_truth_diagnosis,original_prediction,policy_prediction,policy_action,policy_ranked_differential,learned_top_label,top_probability,current_probability,probability_margin_vs_current,correct_top1,gtpa_at_3,gtpa_at_5,true_rank,original_correct_top1,changed_prediction
calibrated_logistic_pool_resolver_v1,ddxplus,test:127667,5,Acute otitis media,Pericarditis,Pericarditis,kept_current_base,"[""Pericarditis"", ""Pneumonia"", ""Chronic rhinosinusitis"", ""Bronchiectasis"", ""Acute otitis media"", ""Pulmonary neoplasm"", ""Spontaneous rib fracture"", ""PSVT"", ""Sarcoidosis"", ""Acute COPD exacerbation / infection""]",Pneumonia,0.2044549681020463,0.15941634538501268,0.04503862271703363,False,False,True,5,False,False
calibrated_logistic_pool_resolver_v1,ddxplus,test:51945,10,URTI,Anemia,Anemia,kept_current_base,"[""Anemia"", ""Panic attack"", ""Stable angina"", ""Sarcoidosis"", ""PSVT"", ""Acute otitis media"", ""Cluster headache"", ""GERD"", ""Chronic rhinosinusitis"", ""URTI""]",Anemia,0.46921289339411393,0.46921289339411393,0.0,False,False,False,10,False,False
calibrated_logistic_pool_resolver_v1,ddxplus,test:51945,15,URTI,Panic attack,GERD,accepted_learned_challenger,"[""GERD"", ""Panic attack"", ""Boerhaave"", ""Acute rhinosinusitis"", ""Stable angina"", ""Chronic rhinosinusitis"", ""Cluster headache"", ""Possible NSTEMI / STEMI"", ""Unstable angina"", ""Pancreatic neoplasm""]",GERD,0.4575497759954615,0.4297991164299955,0.027750659565465963,False,False,False,11,False,True
calibrated_logistic_pool_resolver_v1,ddxplus,test:51945,5,URTI,Pneumonia,Pericarditis,accepted_learned_challenger,"[""Pericarditis"", ""Panic attack"", ""Spontaneous pneumothorax"", ""SLE"", ""Pneumonia"", ""Myocarditis"", ""Sarcoidosis"", ""Anemia"", ""Spontaneous rib fracture"", ""Epiglottitis""]",Pericarditis,0.34751768115808573,0.04645553628569859,0.30106214487238714,False,False,False,11,False,True
calibrated_logistic_pool_resolver_v1,icraft_md,icraft_md:14,15,EBS-Dowling Meara,Severe recessive dystrophic EB,Severe recessive dystrophic EB,kept_current_base,"[""Severe recessive dystrophic EB"", ""Junctional EB"", ""EBS-Dowling Meara"", ""Sweet syndrome""]",Severe recessive dystrophic EB,0.9831996450716105,0.9831996450716105,0.0,False,True,True,3,False,False
calibrated_logistic_pool_resolver_v1,icraft_md,icraft_md:14,5,EBS-Dowling Meara,Severe recessive dystrophic EB,Severe recessive dystrophic EB,kept_current_base,"[""Severe recessive dystrophic EB"", ""Junctional EB"", ""EBS-Dowling Meara"", ""Sweet syndrome""]",Severe recessive dystrophic EB,0.9648934817308152,0.9648934817308152,0.0,False,True,True,3,False,False
calibrated_logistic_pool_resolver_v1,rarebench,rarebench:MME:21,10,"Epilepsy, focal, with speech disorder and mental retardation",Alacrimia-choreoathetosis-liver dysfunction syndrome,Alacrimia-choreoathetosis-liver dysfunction syndrome,kept_current_base,"[""Alacrimia-choreoathetosis-liver dysfunction syndrome"", ""Beaulieu-Boycott-Innes syndrome"", ""Mandibulofacial dysostosis-microcephaly syndrome"", ""Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome"", ""Short syndrome"", ""Poretti-Boltshauser syndrome"", ""Cerebrocostomandibular syndrome"", ""Methylmalonate semialdehyde dehydrogenase deficiency"", ""Autosomal recessive primary microcephaly"", ""Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome""]",Alacrimia-choreoathetosis-liver dysfunction syndrome,0.39579728628091404,0.39579728628091404,0.0,False,False,False,11,False,False
calibrated_logistic_pool_resolver_v1,rarebench,rarebench:MME:21,15,"Epilepsy, focal, with speech disorder and mental retardation",Alacrimia-choreoathetosis-liver dysfunction syndrome,Alacrimia-choreoathetosis-liver dysfunction syndrome,kept_current_base,"[""Alacrimia-choreoathetosis-liver dysfunction syndrome"", ""Beaulieu-Boycott-Innes syndrome"", ""Mandibulofacial dysostosis-microcephaly syndrome"", ""Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome"", ""Methylmalonate semialdehyde dehydrogenase deficiency"", ""Autosomal recessive primary microcephaly"", ""Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome"", ""Epilepsy, focal, with speech disorder and mental retardation"", ""Microcephaly-capillary malformation syndrome"", ""Spondylometaphyseal dysplasia, Sedaghatian type""]",Alacrimia-choreoathetosis-liver dysfunction syndrome,0.6079286561025298,0.6079286561025298,0.0,False,False,False,8,False,False
calibrated_logistic_pool_resolver_v1,rarebench,rarebench:MME:21,5,"Epilepsy, focal, with speech disorder and mental retardation",Alacrimia-choreoathetosis-liver dysfunction syndrome,Alacrimia-choreoathetosis-liver dysfunction syndrome,kept_current_base,"[""Alacrimia-choreoathetosis-liver dysfunction syndrome"", ""Mandibulofacial dysostosis-microcephaly syndrome"", ""Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome"", ""Beaulieu-Boycott-Innes syndrome"", ""Methylmalonate semialdehyde dehydrogenase deficiency"", ""Autosomal recessive primary microcephaly"", ""Poretti-Boltshauser syndrome"", ""Epilepsy, focal, with speech disorder and mental retardation"", ""Combined immunodeficiency-enteropathy spectrum"", ""Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome""]",Alacrimia-choreoathetosis-liver dysfunction syndrome,0.9327993731462189,0.9327993731462189,0.0,False,False,False,8,False,False
calibrated_logistic_pool_resolver_v1,rarebench,rarebench:RAMEDIS:369,10,Citrullinemia type I,Ornithine transcarbamylase deficiency,Ornithine transcarbamylase deficiency,kept_current_base,"[""Ornithine transcarbamylase deficiency"", ""Argininosuccinic aciduria"", ""Medium chain acyl-CoA dehydrogenase deficiency"", ""Methylmalonic acidemia"", ""Glutaric acidemia type I"", ""Maple syrup urine disease"", ""3-Hydroxy-3-methylglutaryl-CoA lyase deficiency"", ""Short chain acyl-CoA dehydrogenase deficiency"", ""Citrullinemia type I"", ""Mitochondrial complex IV deficiency""]",Ornithine transcarbamylase deficiency,0.29195625514106,0.29195625514106,0.0,False,False,False,9,False,False
