requested_evidence_id,requested_question,reveal_status,count
E_151,Do you have swelling in one or more areas of your body?,absent,19
E_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",absent,18
E_201,Do you have a cough?,absent,11
E_91,Do you have a fever (either felt or measured with a thermometer)?,absent,10
E_79,Do you smoke cigarettes?,absent,9
E_181,Do you have nasal congestion or a clear runny nose?,absent,8
E_214,Have you noticed a wheezing sound when you exhale?,absent,8
E_41,Have you been in contact with a person with similar symptoms in the past 2 weeks?,absent,8
E_0,Have you recently had a viral infection?,absent,7
E_70,Are you significantly overweight compared to people of the same height as you?,absent,7
E_194,Have you noticed a high pitched sound when breathing in?,absent,6
E_45,Have you been coughing up blood?,absent,6
E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,absent,5
E_120,Do you have polyps in your nose?,absent,5
E_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,present,5
E_212,"Have you noticed that the tone of your voice has become deeper, softer or hoarse?",absent,5
E_77,Do you have a cough that produces colored or more abundant sputum than usual?,absent,5
E_148,Are you feeling nauseous or do you feel like vomiting?,absent,5
E_65,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",absent,4
E_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,absent,4
E_3,Have you ever had a pericarditis?,absent,4
E_25,Have any of your family members been diagnosed with cluster headaches?,absent,4
E_220,Do you have pain that is increased when you breathe in deeply?,absent,4
E_76,Do you feel slightly dizzy or lightheaded?,absent,4
E_79,Do you smoke cigarettes?,present,4
E_175,"Have you noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in your general well-being related to your consultation today?",absent,4
E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",absent,4
E_97,Do you have a sore throat?,absent,4
E_21,Have you ever had a spontaneous pneumothorax?,absent,3
E_63,Do you have difficulty articulating words/speaking?,absent,3
E_201,Do you have a cough?,present,3
E_216,Do you have pain that is increased with movement?,absent,3
E_146,Are you taking any new oral anticoagulants ((NOACs)?,absent,3
E_187,Did you eat dark-fleshed fish (such as tuna) or Swiss cheese before the reaction occurred?,absent,3
E_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",present,3
E_209,Are your vaccinations up to date?,absent,3
E_45,Have you been coughing up blood?,present,3
E_211,Have you vomited several times or have you made several efforts to vomit?,absent,3
E_78,Do you drink alcohol excessively or do you have an addiction to alcohol?,absent,3
E_218,Do you have symptoms that are increased with physical exertion but alleviated with rest?,absent,2
E_103,Have you lost your sense of smell?,present,2
E_214,Have you noticed a wheezing sound when you exhale?,present,2
E_215,Do you have symptoms that get worse after eating?,absent,2
E_81,Do you suffer from chronic anxiety?,absent,2
E_217,Are your symptoms worse when lying down and alleviated while sitting up?,absent,2
E_105,Have you ever had a heart attack or do you have angina (chest pain)?,absent,2
E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,present,2
E_120,Do you have polyps in your nose?,present,2
E_78,Do you drink alcohol excessively or do you have an addiction to alcohol?,present,2
E_41,Have you been in contact with a person with similar symptoms in the past 2 weeks?,present,2
E_125,Have you ever been diagnosed with gastroesophageal reflux?,absent,2
E_77,Do you have a cough that produces colored or more abundant sputum than usual?,present,2
E_52,Do you have the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision)?,absent,2
E_62,Do you regularly take stimulant drugs?,absent,2
E_218,Do you have symptoms that are increased with physical exertion but alleviated with rest?,present,2
E_15,Have you started or taken any antipsychotic medication within the last 7 days?,absent,2
E_181,Do you have nasal congestion or a clear runny nose?,present,2
E_147,"Have you been treated in hospital recently for nausea, agitation, intoxication or aggressive behavior and received medication via an intravenous or intramuscular route?",absent,2
E_148,Are you feeling nauseous or do you feel like vomiting?,present,2
E_191,Are you a former smoker?,absent,2
E_169,Is your nose or the back of your throat itchy?,absent,2
E_208,"Is your BMI less than 18.5, or are you underweight?",absent,1
E_169,Is your nose or the back of your throat itchy?,present,1
E_108,Do you have a problem with poor circulation?,present,1
E_116,Have you had a cold in the last 2 weeks?,absent,1
E_65,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",present,1
E_63,Do you have difficulty articulating words/speaking?,present,1
E_64,Do you feel out of breath with minimal physical effort?,present,1
E_71,Do you have high cholesterol or do you take medications to treat high cholesterol?,absent,1
E_173,"Do you have a burning sensation that starts in your stomach then goes up into your throat, and can be associated with a bitter taste in your mouth?",present,1
E_62,Do you regularly take stimulant drugs?,present,1
E_174,Have you been unintentionally losing weight or have you lost your appetite?,present,1
E_70,Are you significantly overweight compared to people of the same height as you?,present,1
E_72,Have you had one or several flare ups of chronic obstructive pulmonary disease (COPD) in the past year?,absent,1
E_71,Do you have high cholesterol or do you take medications to treat high cholesterol?,present,1
E_178,Have you noticed any unusual bleeding or bruising related to your consultation today?,present,1
E_73,"In the last month, have you been in contact with anyone infected with the Ebola virus?",present,1
E_106,Do you have heart failure?,present,1
E_105,Have you ever had a heart attack or do you have angina (chest pain)?,present,1
E_164,Do you feel your heart is beating very irregularly or in a disorganized pattern?,present,1
E_161,Have you recently had a loss of appetite or do you get full more quickly then usually?,absent,1
E_157,"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",present,1
E_157,"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",absent,1
E_104,Do you have high blood pressure or do you take medications to treat high blood pressure?,present,1
E_155,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",present,1
E_84,Do you feel weakness in both arms and/or both legs?,absent,1
E_91,Do you have a fever (either felt or measured with a thermometer)?,present,1
E_92,Did your cheeks suddenly turn red?,present,1
E_5,Have you ever had fluid in your lungs?,present,1
E_146,Are you taking any new oral anticoagulants ((NOACs)?,present,1
E_208,"Is your BMI less than 18.5, or are you underweight?",present,1
E_182,Do you have greenish or yellowish nasal discharge?,absent,1
E_203,Do you have intense coughing fits?,present,1
E_209,Are your vaccinations up to date?,present,1
E_0,Have you recently had a viral infection?,present,1
E_21,Have you ever had a spontaneous pneumothorax?,present,1
E_203,Do you have intense coughing fits?,absent,1
E_211,Have you vomited several times or have you made several efforts to vomit?,present,1
E_142,Does your mother suffer from asthma?,absent,1
E_212,"Have you noticed that the tone of your voice has become deeper, softer or hoarse?",present,1
E_14,Do you have chest pain even at rest?,absent,1
E_143,"Do you exercise regularly, 4 times per week or more?",present,1
E_2,Are you infected with the human immunodeficiency virus (HIV)?,absent,1
E_196,Have you had surgery within the last month?,present,1
E_196,Have you had surgery within the last month?,absent,1
E_187,Did you eat dark-fleshed fish (such as tuna) or Swiss cheese before the reaction occurred?,present,1
E_219,Are your symptoms more prominent at night?,present,1
E_151,Do you have swelling in one or more areas of your body?,present,1
E_134,How intense is the pain caused by the rash?,absent,1
E_222,Are you exposed to secondhand cigarette smoke on a daily basis?,absent,1
