case_id,turn_index,requested_root,requested_question,graph_rank,graph_score,information_gain,split_balance,weighted_present_rate,outside_graph_top10
test:104857,1,E_63,Do you have difficulty articulating words/speaking?,3,0.9308,0.5803,0.3881,0.1941,False
test:33118,1,E_169,Is your nose or the back of your throat itchy?,6,0.7519,0.2288,0.4021,0.201,False
test:33118,2,E_183,Do you live in a rural area?,1,0.7588,0.1237,0.2305,0.1152,False
test:33118,3,E_97,Do you have a sore throat?,2,0.7201,0.2129,0.5181,0.2591,False
test:33118,4,E_41,Have you been in contact with a person with similar symptoms in the past 2 weeks?,1,0.7129,0.2246,0.8936,0.4468,False
test:33118,5,E_214,Have you noticed a wheezing sound when you exhale?,3,0.5875,0.1087,0.1506,0.0753,False
test:33118,6,E_184,Do you take medication that dilates your blood vessels?,11,0.8365,0.159,0.2835,0.1417,False
test:33118,7,E_202,Does the person have a whooping cough?,2,0.7168,0.1019,0.118,0.059,False
test:33118,8,E_120,Do you have polyps in your nose?,1,0.8497,0.2983,0.8461,0.5769,False
test:33118,9,E_77,Do you have a cough that produces colored or more abundant sputum than usual?,5,0.6004,0.1877,0.3911,0.1955,False
test:33118,10,E_114,Are you more irritable or has your mood been very unstable recently?,16,0.8928,0.1026,0.2734,0.1367,True
test:93930,1,E_126,Do you have liver cirrhosis?,7,0.8384,0.26,0.6931,0.3466,False
test:93930,2,E_5,Have you ever had fluid in your lungs?,1,0.6758,0.2157,0.2263,0.1132,False
test:93930,3,E_8,Do you currently undergo dialysis?,18,0.7216,0.2371,0.3146,0.1573,True
test:93930,4,E_67,Do you have bouts of choking or shortness of breath that wake you up at night?,7,0.8482,0.2867,0.639,0.3195,False
test:93930,5,E_106,Do you have heart failure?,2,0.6581,0.2825,0.8156,0.4078,False
test:93930,6,E_197,Do you have a known kidney problem resulting in an inability to retain proteins?,4,0.7341,0.2509,0.7234,0.3617,False
test:93930,7,E_12,Do you have a known severe food allergy?,1,0.6067,0.1735,0.1358,0.0679,False
test:93930,8,E_137,Have you ever had surgery to remove lymph nodes?,2,0.5767,0.3021,0.8159,0.4079,False
test:93930,9,E_34,Do you have an active cancer?,4,0.5797,0.1757,0.1736,0.0868,False
test:93930,10,E_152,Where is the swelling located?,1,0.6393,0.8983,0.0679,0.966,False
test:88250,1,E_45,Have you been coughing up blood?,3,0.6678,0.1492,0.8563,0.4282,False
test:88250,2,E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,1,0.6997,0.2242,0.7378,0.3689,False
test:88250,3,E_77,Do you have a cough that produces colored or more abundant sputum than usual?,3,0.702,0.1622,0.6598,0.3299,False
test:88250,4,E_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",1,0.7746,0.2153,0.4703,0.2351,False
test:88250,5,E_216,Do you have pain that is increased with movement?,17,0.8907,0.1611,0.2068,0.1034,True
test:88250,6,E_73,"In the last month, have you been in contact with anyone infected with the Ebola virus?",14,0.8341,0.1453,0.1931,0.0965,True
test:88250,7,E_181,Do you have nasal congestion or a clear runny nose?,1,0.7444,0.178,0.9285,0.4642,False
test:88250,8,E_183,Do you live in a rural area?,1,0.7577,0.091,0.1169,0.0585,False
test:88250,9,E_97,Do you have a sore throat?,1,0.8163,0.2626,0.8638,0.4319,False
test:88250,10,E_142,Does your mother suffer from asthma?,1,0.6598,0.0851,0.1028,0.0514,False
test:88250,11,E_114,Are you more irritable or has your mood been very unstable recently?,16,0.8011,0.1074,0.1917,0.0958,True
test:88250,12,E_169,Is your nose or the back of your throat itchy?,12,0.8891,0.1495,0.1921,0.0961,False
test:90978,1,E_142,Does your mother suffer from asthma?,10,0.9439,0.2067,0.9617,0.4809,False
test:90978,2,E_183,Do you live in a rural area?,6,0.9786,0.1952,0.8434,0.4217,False
test:90978,3,E_4,Have you or any member of your family ever had croup?,10,0.7674,0.265,0.2488,0.1244,False
test:90978,4,E_195,Do you live in the suburbs?,7,0.806,0.177,0.7529,0.3764,False
test:90978,5,E_214,Have you noticed a wheezing sound when you exhale?,1,0.6619,0.1806,0.8642,0.5679,False
test:90978,6,E_46,Have you had 2 or more asthma attacks in the past year?,14,0.7803,0.1738,0.1484,0.0742,True
test:90978,7,E_181,Do you have nasal congestion or a clear runny nose?,1,0.7776,0.3934,0.7684,0.6158,False
test:90978,8,E_91,Do you have a fever (either felt or measured with a thermometer)?,3,0.6512,0.2933,0.5233,0.7383,False
test:29123,1,E_45,Have you been coughing up blood?,4,0.668,0.1501,0.848,0.424,False
test:29123,2,E_124,Do you have asthma or have you ever had to use a bronchodilator in the past?,1,0.7175,0.2223,0.7101,0.3551,False
test:29123,3,E_46,Have you had 2 or more asthma attacks in the past year?,10,0.8821,0.1896,0.3905,0.1953,False
test:29123,4,E_101,Have you been hospitalized for an asthma attack in the past year?,4,0.9324,0.2559,0.9566,0.5217,False
test:29123,5,E_214,Have you noticed a wheezing sound when you exhale?,1,0.7822,0.3575,0.9274,0.4637,False
test:51421,1,E_23,Do you ever temporarily stop breathing while you’re asleep?,1,0.719,0.0936,0.1448,0.0724,False
test:51421,2,E_189,Have you had sexual intercourse with an HIV-positive partner in the past 12 months?,13,0.8908,0.1683,0.3639,0.1819,True
test:51421,3,E_129,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",1,0.8129,0.3172,0.8249,0.5876,False
test:51421,4,E_66,Are you experiencing shortness of breath or difficulty breathing in a significant way?,10,0.7121,0.1737,0.2779,0.1389,False
test:51421,5,E_183,Do you live in a rural area?,1,0.7352,0.0964,0.1565,0.0783,False
test:51421,6,E_65,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",9,0.6723,0.1884,0.3949,0.1974,False
test:51421,7,E_201,Do you have a cough?,2,0.71,0.2244,0.7301,0.6349,False
test:51421,8,E_202,Does the person have a whooping cough?,1,0.7161,0.0952,0.1348,0.0674,False
test:51421,9,E_174,Have you been unintentionally losing weight or have you lost your appetite?,2,0.6763,0.0717,0.1154,0.0577,False
