policy_name,cohort,dataset_name,case_id,budget,ground_truth_diagnosis,policy_prediction,correct_top1,gtpa_at_3,gtpa_at_5,original_correct_top1,changed_prediction,policy_action,learned_top_label,learned_top_score,current_candidate_score,score_delta_vs_current,candidate_pool_has_truth,candidate_pool_size,candidate_pool_truth_rank,num_questions,branch_count,branch_question_count
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:106535,5,Viral pharyngitis,Viral pharyngitis,True,True,True,True,False,preserve_current,Viral pharyngitis,0.997979941103692,0.997979941103692,0.0,True,23,1,5.0,1.0,2.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:106535,10,Viral pharyngitis,Viral pharyngitis,True,True,True,True,False,preserve_current,Viral pharyngitis,0.9949368144739036,0.9949368144739036,0.0,True,15,1,10.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:106535,15,Viral pharyngitis,Viral pharyngitis,True,True,True,True,False,preserve_current,Viral pharyngitis,0.9938997785655843,0.9938997785655843,0.0,True,15,1,14.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:118052,5,Bronchiectasis,Bronchiectasis,True,True,True,True,False,preserve_current,Bronchiectasis,0.9950341828599274,0.9950341828599274,0.0,True,17,1,4.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:118052,10,Bronchiectasis,Bronchiectasis,True,True,True,True,False,preserve_current,Bronchiectasis,0.9952030603751715,0.9952030603751715,0.0,True,18,1,8.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:118052,15,Bronchiectasis,Bronchiectasis,True,True,True,True,False,preserve_current,Bronchiectasis,0.9950529246332798,0.9950529246332798,0.0,True,19,1,9.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:123251,5,Myasthenia gravis,Myasthenia gravis,True,True,True,True,False,preserve_current,Myasthenia gravis,0.9961349526812185,0.9961349526812185,0.0,True,22,1,3.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:123251,10,Myasthenia gravis,Myasthenia gravis,True,True,True,True,False,preserve_current,Myasthenia gravis,0.9934688049511932,0.9934688049511932,0.0,True,22,1,4.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:123251,15,Myasthenia gravis,Myasthenia gravis,True,True,True,True,False,preserve_current,Myasthenia gravis,0.991926168542532,0.991926168542532,0.0,True,23,1,5.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:13987,5,HIV (initial infection),HIV (initial infection),True,True,True,True,False,preserve_current,HIV (initial infection),0.9969929521875847,0.9969929521875847,0.0,True,24,1,5.0,1.0,2.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:13987,10,HIV (initial infection),HIV (initial infection),True,True,True,True,False,preserve_current,HIV (initial infection),0.9914183705789346,0.9914183705789346,0.0,True,15,1,5.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:13987,15,HIV (initial infection),HIV (initial infection),True,True,True,True,False,preserve_current,HIV (initial infection),0.9985693730794974,0.9985693730794974,0.0,True,25,1,9.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:33259,5,Spontaneous pneumothorax,Spontaneous pneumothorax,True,True,True,True,False,preserve_current,Spontaneous pneumothorax,0.9936568762319952,0.9936568762319952,0.0,True,21,1,4.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:33259,10,Spontaneous pneumothorax,Spontaneous pneumothorax,True,True,True,True,False,preserve_current,Spontaneous pneumothorax,0.9958040893984664,0.9958040893984664,0.0,True,24,1,8.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:33259,15,Spontaneous pneumothorax,Spontaneous pneumothorax,True,True,True,True,False,preserve_current,Spontaneous pneumothorax,0.995434766962236,0.995434766962236,0.0,True,24,1,9.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:48081,5,Viral pharyngitis,Viral pharyngitis,True,True,True,True,False,preserve_current,Viral pharyngitis,0.9956335763067813,0.9956335763067813,0.0,True,19,1,5.0,1.0,2.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:48081,10,Viral pharyngitis,Viral pharyngitis,True,True,True,True,False,preserve_current,Viral pharyngitis,0.9879367024252794,0.9879367024252794,0.0,True,17,1,10.0,2.0,3.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:48081,15,Viral pharyngitis,Viral pharyngitis,True,True,True,True,False,preserve_current,Viral pharyngitis,0.9929586820905422,0.9929586820905422,0.0,True,16,1,11.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:57286,5,URTI,URTI,True,True,True,True,False,preserve_current,URTI,0.99451392725955,0.99451392725955,0.0,True,16,1,5.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:57286,10,URTI,URTI,True,True,True,True,False,preserve_current,URTI,0.9906204668393421,0.9906204668393421,0.0,True,17,1,4.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:57286,15,URTI,URTI,True,True,True,True,False,preserve_current,URTI,0.9830236171874136,0.9830236171874136,0.0,True,16,1,5.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:57986,5,Chronic rhinosinusitis,Chronic rhinosinusitis,True,True,True,True,False,preserve_current,Chronic rhinosinusitis,0.9873569712208444,0.9873569712208444,0.0,True,13,1,5.0,0.0,0.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:57986,10,Chronic rhinosinusitis,Chronic rhinosinusitis,True,True,True,True,False,preserve_current,Chronic rhinosinusitis,0.9953648832691226,0.9953648832691226,0.0,True,17,1,10.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:57986,15,Chronic rhinosinusitis,Chronic rhinosinusitis,True,True,True,True,False,preserve_current,Chronic rhinosinusitis,0.9955668717932726,0.9955668717932726,0.0,True,17,1,10.0,2.0,4.0
integrated_recovered_pool_evidence_card_policy_v1,prospective90,ddxplus,test:62404,5,Unstable angina,Stable angina,False,True,True,False,False,preserve_current,Possible NSTEMI / STEMI,0.9926367922138173,0.9742237614169607,0.018413030796856633,True,19,3,5.0,0.0,0.0
